Chemical Shift,Isotropic Values
53.7,133.2863
77.2,99.8885
49.8,145.2165
63.0,135.6729
18.7,176.5755
95.2,81.7568
45.4,151.099
70.9,128.5274
12.4,184.3238
1.27,194.1684
115.5,84.4224
128.9,54.6464
120.3,71.9211
124.1,60.8474
116.7,76.3927
199.7,4.8229
30.7,164.1923
39.5,157.6248
40.6,154.3848
18.7,178.0612
170.3,25.4649
33.7,163.1203
1.7,193.4942
117.4,87.6557
-2.9,197.9278
27.4,168.8414
53.6,140.0182
138.56,52.2964
112.63,87.2643
26.05,168.9483
134.3,66.809
118.3,83.0379
45.1,146.7605
205.8,-1.1279
30.6,166.4643
72.6,125.7481
22.9,173.7877
72.6,125.7481
171.2,30.6994
20.4,175.4776
51.4,145.1575
162.5,43.3522
31.1,166.7921
36.1,161.3308
187.44,13.0479
96.32,82.13
21.51,173.3919
121.0,83.0576
10.6,182.4134
10.9,183.3339
23.4,171.3764
37.83,152.7238
117.9,84.716
157.81,44.5436
103.61,96.5303
149.08,52.8401
141.35,54.9509
23.45,170.9106
110.57,88.1731
22.4,171.2267
3.33,190.9252
74.56,123.9592
137.2,61.5289
30.2,163.7903
34.5,162.1345
85.2,114.1682
27.8,168.1393
111.64,80.6348
134.91,63.2266
22.85,172.2538
18.16,177.488
68.0,128.6924
26.0,167.3972
170.0,36.3322
34.8,164.3272
37.9,159.9236
21.4,174.1583
47.8,148.2452
9.9,183.7482
208.9,-4.5917
177.9,28.4432
27.7,167.1555
22.2,170.6325
68.6,130.4623
123.83,79.7992
19.87,173.3234
19.98,174.8372
142.8,58.8835
109.7,89.9554
183.8,19.0224
81.9,117.959
78.8,121.8494
32.2,162.5898
125.0,71.0439
126.7,74.9771
121.2,69.2502
148.9,45.0824
70.9,127.17
165.7,38.9216
113.11,83.475
153.49,46.8004
152.14,45.7993
16.77,177.1886
157.6,42.8221
122.6,79.0583
159.2,37.8013
146.1,53.5142
127.7,76.0975
152.6,48.5127
26.5,168.2386
17.3,178.1283
132.0,66.1615
118.8,78.3833
13.4,180.4069
25.6,169.0214
22.98,169.8396
32.59,161.3399
130.77,67.2922
27.06,169.3928
72.8,125.8369
49.41,147.6648
24.0,170.176
27.1,167.6661
68.8,127.5437
42.9,154.3213
56.9,138.7156
24.6,170.2458
219.6,-14.3557
38.2,156.5953
23.4,169.9649
125.9,77.5928
28.12,166.7785
28.41,167.3605
210.45,-3.3333
134.37,63.5304
165.25,35.8686
29.03,165.5768
34.02,161.612
35.6,160.4106
121.6,80.0796
108.3,90.5753
153.3,45.6927
121.9,83.759
112.9,86.8087
148.6,54.6152
178.1,23.7676
149.9,48.6736
123.7,77.013
135.7,65.0411
109.0,90.0875
149.8,48.514
33.7,160.6863
29.4,167.1401
27.3,167.2708
27.25,167.3279
92.97,108.3045
66.52,131.0426
30.92,165.0163
127.3,70.5779
25.4,168.0452
22.9,171.0763
128.5,71.5942
46.85,149.2388
56.59,139.4366
26.01,168.1973
23.85,169.9767
211.2,-6.9714
41.9,153.0367
27.2,166.2812
25.1,168.5269
198.7,5.7756
129.8,67.41
150.6,50.6647
25.8,167.4262
22.9,170.0189
38.2,156.4338
163.3,35.8349
115.5,83.6542
130.2,69.97
124.2,76.8139
134.4,57.2731
128.6,71.0892
129.7,70.6987
126.4,74.057
148.3,51.4236
123.5,74.6353
129.5,70.871
134.8,65.613
187.2,12.9367
136.6,63.2093
21.4,173.1709
137.7,61.1806
130.0,71.0936
129.2,71.6443
126.6,74.6933
75.2,118.5113
50.3,142.5604
143.2,53.9971
159.9,40.7723
114.1,86.379
129.5,70.5434
120.7,80.1399
54.8,143.3372
150.7,51.437
112.7,88.2306
129.0,70.856
116.6,83.6111
40.2,155.6811
121.7,78.3394
101.9,96.2187
127.6,70.8549
135.6,64.9234
111.1,89.8496
124.3,77.5634
119.7,79.8683
120.6,78.5465
