Chemical Shift,Isotropic Values
49.8,134.1957
63.0,121.7008
18.7,167.3418
45.4,140.1731
70.9,112.9297
12.4,175.5468
1.27,184.7287
115.5,65.1754
199.7,-22.0464
30.7,153.2496
39.5,144.6762
40.6,141.6667
18.7,162.8076
33.7,152.1417
1.7,186.5278
117.4,63.1248
-2.9,189.2399
27.4,159.6585
112.63,69.8879
26.05,159.4808
134.3,46.5782
118.3,67.4325
205.8,-28.4706
30.6,155.3684
72.6,112.4063
22.9,164.1258
72.6,112.4063
171.2,7.9675
20.4,165.5413
51.4,133.6765
162.5,20.923
31.1,157.4836
36.1,151.0124
187.44,-8.6949
21.51,162.7947
121.0,59.1004
10.6,174.5487
10.9,175.1872
23.4,162.6615
117.9,62.1301
157.81,22.4731
103.61,80.2365
149.08,31.9953
141.35,33.6081
23.45,161.6393
110.57,72.9456
22.4,162.8617
3.33,184.0365
74.56,107.5792
137.2,42.3936
30.2,153.7956
34.5,152.6107
85.2,94.224
27.8,158.8135
134.91,42.1028
22.85,162.9133
18.16,168.35
68.0,115.9743
26.0,157.6696
170.0,13.627
34.8,154.8869
37.9,150.0752
21.4,163.9852
47.8,136.3871
9.9,175.8516
208.9,-33.6126
177.9,2.8113
27.7,156.6081
22.2,161.7987
68.6,116.695
123.83,56.1998
19.87,164.0634
19.98,166.6242
142.8,39.1177
109.7,73.1476
183.8,-5.8007
81.9,103.4133
78.8,102.4393
32.2,151.5028
125.0,53.138
126.7,56.5645
70.9,113.4403
165.7,15.7545
113.11,65.9415
153.49,27.9322
152.14,26.2473
16.77,168.6146
157.6,23.8656
122.6,61.3708
159.2,20.6999
146.1,35.9316
127.7,57.0849
152.6,29.1538
26.5,158.6923
17.3,169.5804
132.0,46.9249
118.8,61.4597
13.4,172.1173
25.6,159.7629
22.98,161.7971
32.59,151.0702
130.77,49.0219
27.06,160.6628
72.8,111.0625
49.41,137.2404
24.0,161.7078
27.1,158.5511
68.8,116.8274
42.9,145.6734
56.9,128.9616
24.6,161.0462
219.6,-42.8295
38.2,145.4532
23.4,160.8944
125.9,54.1093
28.12,155.4758
28.41,158.5929
210.45,-29.1397
134.37,47.006
165.25,10.9601
29.03,154.2664
34.02,150.2933
35.6,150.6691
121.6,61.6537
108.3,75.1504
153.3,27.3015
121.9,65.1291
112.9,69.4757
148.6,32.4124
178.1,2.1058
149.9,31.0453
123.7,59.2526
135.7,46.1871
109.0,74.1613
149.8,28.4106
33.7,148.5886
29.4,158.6259
27.3,158.4216
27.25,156.2897
92.97,89.6997
66.52,116.7238
30.92,156.177
127.3,52.527
25.4,159.5052
22.9,162.5556
128.5,54.3155
46.85,140.2769
56.59,130.1785
26.01,158.7251
23.85,161.309
211.2,-34.0661
41.9,142.172
27.2,156.6903
25.1,159.8194
198.7,-18.5386
129.8,51.9956
150.6,26.2475
25.8,158.3868
22.9,161.3069
38.2,146.4251
163.3,16.8108
115.5,67.4654
130.2,52.3014
124.2,58.845
128.6,53.7567
129.7,52.5811
126.4,56.0524
148.3,33.382
123.5,57.9168
129.5,53.4437
134.8,45.86
187.2,-9.1787
136.6,45.5573
21.4,164.5803
137.7,42.8718
130.0,53.6071
129.2,54.3005
126.6,57.7456
75.2,105.7348
50.3,131.1467
143.2,34.7978
159.9,21.6285
114.1,70.196
129.5,53.1318
120.7,63.4867
54.8,132.258
150.7,32.0964
112.7,72.245
129.0,53.5718
116.6,68.3039
40.2,146.568
121.7,58.4778
101.9,81.5757
127.6,54.5006
135.6,47.1024
111.1,72.905
124.3,61.5681
119.7,63.7784
120.6,62.5786
